dist,ftol,n_converged,median_QLIKE,mean_QLIKE,median_MSE,mean_MSE,sim_steps,rv_floor,rv_ceil,filter_label,n_forecasts
normal,1e-07,95.0,-12.759788766066736,-11.975414888967434,1.5778968894475166e-07,8.139417642649142e-06,,,,,
skewt,1e-09,32.0,-12.45919352692558,-11.430462593090324,1.1241085217976726e-07,7.32394718950427e-05,,,,,
normal,1e-09,68.0,-12.432278496271007,-12.027186159214198,2.184970353784683e-07,6.137614177860512e-07,,,,,
skewt,1e-07,52.0,-12.346745281109172,-10.883207282407284,1.883968392374698e-07,5.3629250492514905e-06,,,,,
t,1e-07,59.0,-12.336948109310551,-12.027095926185215,1.8010670318311348e-07,1.4854166037755173e-05,,,,,
t,1e-09,30.0,-12.316490291084053,-11.580662879235616,2.2135971190173632e-07,2.3822299002450654e-05,,,,,
normal,1e-07,,-12.814312706877953,-12.01842435911918,1.4964406679555456e-07,3.1226694104279926e-06,4.0,0.0001,0.02,"[1e-04, 0.02]",94.0
normal,1e-07,,-12.759995081054525,-12.016877696187883,1.5753650617784894e-07,7.801185430936382e-06,4.0,0.0001,0.05,"[1e-04, 0.05]",94.0
normal,1e-07,,-12.711182432369995,-11.178644371893677,1.504987118723425e-07,1.1341177940541735e-05,4.0,1e-05,0.1,"[1e-05, 0.1]",94.0
normal,1e-07,,-12.706869097153744,-12.452607754456151,2.8399267597317284e-07,4.748421365139135e-06,8.0,0.0001,0.02,"[1e-04, 0.02]",94.0
normal,1e-07,,-12.692998840278307,-12.27092281591193,2.780202876795436e-07,2.8781417934367416e-05,8.0,1e-05,0.1,"[1e-05, 0.1]",94.0
normal,1e-07,,-12.67942549410996,-12.407962001554584,2.843903680227828e-07,1.3170941265770152e-05,8.0,0.0001,0.05,"[1e-04, 0.05]",94.0
normal,1e-07,,-12.598220960524365,-12.107447595516138,6.531116638321015e-07,9.834334239532013e-06,4.0,0.001,0.05,"[1e-03, 0.05]",90.0
normal,1e-07,,-12.447713042040014,-12.009536017542631,6.50478772101918e-07,1.6050640108605346e-05,8.0,0.001,0.05,"[1e-03, 0.05]",92.0
normal,1e-07,,-12.28890135595331,-12.110489372080911,1.1527853005549385e-06,8.46912488716012e-06,16.0,0.0001,0.02,"[1e-04, 0.02]",94.0
normal,1e-07,,-12.249232442863557,-12.029722564529111,1.2229797254107528e-06,2.0255564372310155e-05,16.0,0.0001,0.05,"[1e-04, 0.05]",94.0
normal,1e-07,,-12.236644654214652,-11.981567389634185,1.1908490740874426e-06,4.7372142245582785e-05,16.0,1e-05,0.1,"[1e-05, 0.1]",94.0
normal,1e-07,,-12.123885930151154,-11.761645676472494,1.3116560943766396e-06,2.3768210662734968e-05,16.0,0.001,0.05,"[1e-03, 0.05]",92.0
normal,1e-07,,-11.73260715069021,-11.628516604233164,3.598503340915187e-06,1.279464841432919e-05,30.0,0.0001,0.02,"[1e-04, 0.02]",93.0
normal,1e-07,,-11.700535520248398,-11.51233846182318,3.7810710869165265e-06,3.15287059667361e-05,30.0,0.0001,0.05,"[1e-04, 0.05]",94.0
normal,1e-07,,-11.686973710933335,-11.459390291899668,3.7144721844075474e-06,7.021573858207808e-05,30.0,1e-05,0.1,"[1e-05, 0.1]",94.0
normal,1e-07,,-11.558385315551252,-11.381148200075666,3.826935705447998e-06,3.746817534073581e-05,30.0,0.001,0.05,"[1e-03, 0.05]",93.0
